aar||aa|Afar|Afaraf
abk||ab|Abkhazian; Abkhaz|аҧсуа бызшәа; аҧсшәа
ace|||Achinese|
ach|||Acoli|
ada|||Adangme|
ady|||Adyghe; Adygei|
afa|||Afro-Asiatic languages|
afh|||Afrihili|
afr||af|Afrikaans|Afrikaans
ain|||Ainu|
aka||ak|Akan|Akan
akk|||Akkadian|
alb|sqi|sq|Albanian|Shqip
ale|||Aleut|
alg|||Algonquian languages|
alt|||Southern Altai|
amh||am|Amharic|አማርኛ
ang|||English, Old (ca.450-1100)|
anp|||Angika|
apa|||Apache languages|
ara||ar|Arabic|العربية
arc|||Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)|
arg||an|Aragonese|aragonés
arm|hye|hy|Armenian|Հայերեն
arn|||Mapudungun; Mapuche|
arp|||Arapaho|
art|||Artificial languages|
arw|||Arawak|
asm||as|Assamese|অসমীয়া
ast|||Asturian; Bable; Leonese; Asturleonese|
ath|||Athapascan languages|
aus|||Australian languages|
ava||av|Avaric|авар мацӀ; магӀарул мацӀ
ave||ae|Avestan|avesta
awa|||Awadhi|
aym||ay|Aymara|aymar aru
aze||az|Azerbaijani|azərbaycan dili
bad|||Banda languages|
bai|||Bamileke languages|
bak||ba|Bashkir|башҡорт теле
bal|||Baluchi|
bam||bm|Bambara|bamanankan
ban|||Balinese|
baq|eus|eu|Basque|euskara; euskera
bas|||Basa|
bat|||Baltic languages|
bej|||Beja; Bedawiyet|
bel||be|Belarusian|беларуская мова
bem|||Bemba|
ben||bn|Bengali; Bangla|বাংলা
ber|||Berber languages|
bho|||Bhojpuri|
bih||bh|Bihari languages; Bihari|भोजपुरी
bik|||Bikol|
bin|||Bini; Edo|
bis||bi|Bislama|Bislama
bla|||Siksika|
bnt|||Bantu (Other)|
bos||bs|Bosnian|bosanski jezik
bra|||Braj|
bre||br|Breton|brezhoneg
btk|||Batak languages|
bua|||Buriat|
bug|||Buginese|
bul||bg|Bulgarian|български език
bur|mya|my|Burmese|ဗမာစာ
byn|||Blin; Bilin|
cad|||Caddo|
cai|||Central American Indian languages|
car|||Galibi Carib|
cat||ca|Catalan; Valencian|català
cau|||Caucasian languages|
ceb|||Cebuano|
cel|||Celtic languages|
cha||ch|Chamorro|Chamoru
chb|||Chibcha|
che||ce|Chechen|нохчийн мотт
chg|||Chagatai|
chi|zho|zh|Chinese|中文; Zhōngwén; 汉语; 漢語
chk|||Chuukese|
chm|||Mari|
chn|||Chinook jargon|
cho|||Choctaw|
chp|||Chipewyan; Dene Suline|
chr|||Cherokee|
chu||cu|Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic|ѩзыкъ словѣньскъ
chv||cv|Chuvash|чӑваш чӗлхи
chy|||Cheyenne|
cmc|||Chamic languages|
cop|||Coptic|
cor||kw|Cornish|Kernewek
cos||co|Corsican|corsu; lingua corsa
cpe|||Creoles and pidgins, English based|
cpf|||Creoles and pidgins, French-based |
cpp|||Creoles and pidgins, Portuguese-based |
cre||cr|Cree|ᓀᐦᐃᔭᐍᐏᐣ
crh|||Crimean Tatar; Crimean Turkish|
crp|||Creoles and pidgins |
csb|||Kashubian|
cus|||Cushitic languages|
cze|ces|cs|Czech|čeština; český jazyk
dak|||Dakota|
dan||da|Danish|dansk
dar|||Dargwa|
day|||Land Dayak languages|
del|||Delaware|
den|||Slave (Athapascan)|
dgr|||Dogrib|
din|||Dinka|
div||dv|Divehi; Dhivehi; Maldivian|ދިވެހި
doi|||Dogri|
dra|||Dravidian languages|
dsb|||Lower Sorbian|
dua|||Duala|
dum|||Dutch, Middle (ca.1050-1350)|
dut|nld|nl|Dutch; Flemish|Nederlands; Vlaams
dyu|||Dyula|
dzo||dz|Dzongkha|རྫོང་ཁ
efi|||Efik|
egy|||Egyptian (Ancient)|
eka|||Ekajuk|
elx|||Elamite|
eng||en|English|English
enm|||English, Middle (1100-1500)|
epo||eo|Esperanto|Esperanto
est||et|Estonian|eesti; eesti keel
ewe||ee|Ewe|Eʋegbe
ewo|||Ewondo|
fan|||Fang|
fao||fo|Faroese|føroyskt
fat|||Fanti|
fij||fj|Fijian|vosa Vakaviti
fil|||Filipino; Pilipino|
fin||fi|Finnish|suomi; suomen kieli
fiu|||Finno-Ugrian languages|
fon|||Fon|
fre|fra|fr|French|français; langue française
